 order_index Customer_coordinate 1st_restaurant Duration_restaurant_1 Distance_restaurant_1 Route_cost_1 2nd_restaurant Duration_restaurant_2 Distance_restaurant_2 Route_cost_2 3rd_restaurant Duration_restaurant_3 Distance_restaurant_3 Route_cost_3 Pizza_order_amount production_time_restaurant_1 production_time_restaurant_2 production_time_restaurant_3 capacity_restaurant_1 capacity_restaurant_2 capacity_restaurant_3 Actual_production_time_1 Actual_production_time_2 Actual_production_time_3 vehicle_type_1 Min _vehicle_cost_1 vehicle_type_2 Min_vehicle_cost_2 vehicle_type_3 Min_vehicle_cost_3 Total_cost_restaurant_1 Total_cost_restaurant_2 Total_cost_restaurant_3
230 2132 174 14 7.12 2744 1799.0 15 9.23 3389 2248.5 9 13.47 4610 3113.0 2 10 10 12 1 5 3 20.0 20.0 24.0 2 1001.5166666666668 2 1001.9240833333333 2 1002.2293333333333 2610.413333333333 3061.0392666666667 3927.383466666666
231 2142 6385 3 4.3 1293 904.5 8 5.32 1593 1115.5 7 8.68 2448 1745.0 4 13 13 12 2 1 2 26.0 52.0 24.0 2 1000.8249166666667 2 1001.0189166666668 2 1001.2326666666668 1718.5599333333334 1942.515133333333 2558.386133333333
232 2149 3346 6 0.77 193 142.5 0 6.2 1867 1305.5 5 8.7 2619 1831.5 4 9 12 6 5 1 10 36.0 48.0 24.0 2 1000.1380833333334 2 1001.1900833333334 2 1001.3780833333334 961.6104666666668 2130.6520666666665 2646.6024666666667
233 2151 4729 12 4.85 1573 1077.5 8 10.42 3329 2289.5 10 11.0 3670 2495.0 2 13 13 9 1 1 12 26.0 26.0 18.0 2 1000.9590833333333 2 1002.0479166666668 2 1002.1331666666667 1891.4672666666668 3104.338333333333 3308.1065333333336
234 2152 2076 4 7.22 2866 1866.0 13 9.12 2907 2000.5 7 18.68 6052 4147.0 3 12 6 12 3 11 2 12.0 18.0 18.0 2 1001.5588333333334 2 1001.79075 2 1002.577 2673.8470666666667 2813.1326 4958.4616
235 2163 1642 9 11.33 3875 2617.5 10 17.03 5903 3973.5 14 14.13 6637 4166.5 3 12 9 10 3 12 1 12.0 27.0 30.0 2 1002.2905833333333 2 1003.4625833333333 2 1003.6460833333334 3425.932466666666 4792.170066666667 4984.616866666666
236 2185 9632 1 4.18 1343 922.5 11 5.87 1915 1309.5 15 8.53 2984 2004.0 3 8 14 10 5 2 5 24.0 21.0 30.0 2 1000.8234166666666 2 1001.1635833333332 2 1001.4308333333332 1736.1587333333332 2121.3308666666667 2821.144666666666
237 2187 6738 12 1.35 408 285.0 8 6.53 2222 1503.0 10 8.12 2664 1819.0 1 13 13 9 1 1 12 13.0 13.0 9.0 2 1000.2595 2 1001.3173333333334 2 1001.4278333333334 1091.9076 2310.753866666667 2627.042266666667
238 2197 1770 15 4.62 1679 1116.5 14 9.77 3659 2415.5 9 12.42 3952 2721.0 3 10 10 12 5 1 3 30.0 30.0 12.0 2 1000.95875 2 1002.0545833333333 2 1002.1278333333332 1933.267 3232.343666666666 3529.302266666666
239 2215 5134 9 6.42 1982 1376.0 11 7.08 2177 1513.5 1 9.47 3339 2237.5 4 12 14 8 3 2 5 16.0 28.0 32.0 2 1001.2445 2 1001.37025 2 1001.66075 2185.5956 2328.9962 3055.8286
240 2225 8086 14 10.22 3347 2286.5 9 11.13 4279 2807.5 15 17.25 6030 4050.0 10 10 12 10 1 3 5 100.0 40.0 20.0 3 20003.376833333336 3 20003.9945 3 20004.87 18339.40146666667 18831.2956 20064.896
241 2254 7421 9 3.73 1079 763.5 11 9.1 3190 2141.0 1 11.48 4352 2865.0 12 12 14 8 3 2 5 48.0 84.0 19.2 3 20001.161166666665 3 20003.111666666668 3 20003.692666666666 16789.02893333333 18185.889333333336 18878.55413333333
242 2265 3122 8 4.15 1213 855.5 12 5.1 1667 1139.5 3 6.58 1913 1351.5 2 13 13 13 1 1 2 26.0 26.0 13.0 2 1000.7874166666667 2 1001.01175 2 1001.07325 1669.3299333333334 1953.5094 2159.2586
243 2278 5899 8 3.37 1087 745.5 12 4.87 1276 930.0 3 5.22 1622 1124.0 2 13 13 13 1 1 2 26.0 26.0 13.0 2 1000.6649166666666 2 1000.8871666666665 2 1000.9736666666665 1559.2319333333335 1743.9097333333334 1931.6789333333334
244 2281 3960 7 3.55 1035 730.5 2 8.68 2382 1712.0 13 7.85 2766 1854.0 4 12 7 6 2 5 11 24.0 28.0 24.0 2 1000.6729166666668 2 1001.6081666666665 2 1001.7041666666668 1543.4383333333335 2528.286533333333 2669.563333333333
245 2283 5441 7 2.87 892 618.0 2 8.23 2290 1639.0 13 8.95 3109 2091.5 3 12 7 6 2 5 11 18.0 21.0 18.0 2 1000.5578333333333 2 1001.5326666666666 2 1001.7374166666666 1427.846266666667 2451.7261333333336 2904.089933333333
246 2292 3713 14 6.85 2149 1485.5 15 12.63 4491 3003.5 9 12.22 4825 3145.5 1 10 10 12 1 5 3 10.0 10.0 12.0 2 1001.3364166666668 2 1002.59625 2 1002.67975 2291.7691333333332 3811.577 3954.2438
247 2300 44 8 3.38 1012 709.0 12 4.33 1466 993.0 3 5.82 1712 1205.0 3 13 13 13 1 1 2 39.0 39.0 19.5 2 1000.6473333333333 2 1000.8716666666667 2 1000.9331666666667 1529.2178666666669 1813.397333333333 2015.896533333333
