order_index "Customer coordinate" "1st restaurant" "Duration restaurant 1" "Distance restaurant 1" "Route_cost 1" "2nd restaurant" "Duration restaurant 2" "Distance restaurant 2" "Route_cost 2" "3rd restaurant" "Duration restaurant 3" "Distance restaurant 3" "Route_cost 3" "Pizza order amount" "production time restaurant 1" "production time restaurant 2" "production time restaurant 3" "capacity restaurant 1" "capacity restaurant 2" "capacity restaurant 3" "vehicle type 1" "Min vehicle cost 1" "vehicle type 2" "Min vehicle cost 2" "vehicle type 3" "Min vehicle cost 3" "Total cost restaurant 1" "Total cost restaurant 2" "Total cost restaurant 3"
1210 2765 8 648 3766 2531.0 13 769 4003 2770.5 14 1042 5575 3829.5 2 13 6 10 1 11 1 2 1076.5414999999998 2 1090.7174166666666 2 1091.1104166666667 5766.924499999999 6098.25225 7108.83125
1231 7541 4 191 885 633.5 15 397 2253 1523.5 16 523 2623 1834.5 3 12 10 10 3 5 11 2 1022.5045833333334 2 1046.8799166666665 2 1046.9724166666665 3717.21375 4690.139749999999 5031.4172499999995
1235 8544 10 300 1533 1066.5 5 313 1918 1272.0 0 503 2722 1864.0 2 9 6 12 12 10 1 2 1035.38325 2 1036.9961666666666 2 1037.1971666666666 4233.54975 4433.5885 4981.791499999999
1242 4845 8 854 4404 3056.0 11 882 5219 3491.5 9 1033 5934 4000.0 1 13 14 12 1 2 3 2 1100.7343333333333 2 1104.20475 2 1104.3835000000001 6364.503000000001 6815.51425 7329.3505000000005
1261 5632 1 103 490 348.0 6 425 1931 1390.5 5 430 2265 1562.5 2 8 9 6 5 5 10 2 1012.1391666666666 2 1050.0660833333332 2 1050.1495833333333 3410.2174999999997 4566.598249999999 4763.54875
1268 3277 15 184 975 671.5 4 282 1638 1101.0 16 396 2275 1533.5 4 10 12 10 5 3 11 2 1021.7104166666667 2 1033.3095 2 1033.46875 3762.63125 4217.1285 4689.90625
1271 7693 0 324 1691 1169.5 10 590 3204 2192.0 14 617 3862 2548.0 4 12 9 10 1 12 1 2 1038.22275 2 1069.6343333333332 2 1069.7988333333333 4290.3682499999995 5461.803 5763.3965
1281 8557 3 379 2921 1839.5 12 591 3778 2480.0 16 871 5492 3617.0 2 13 13 10 2 1 11 2 1044.9469166666668 2 1069.8945 2 1070.323 4985.6407500000005 5695.9835 6883.969
1298 5230 13 216 1180 806.0 14 754 4257 2882.5 8 687 5546 3460.0 2 6 10 13 11 1 1 2 1025.4950000000001 2 1089.0309166666666 2 1089.3531666666668 3938.0850000000005 6155.59275 6734.3595000000005
1302 8403 12 331 1777 1219.5 6 985 5422 3696.0 3 709 6063 3740.5 6 13 9 13 1 5 2 2 1039.0609166666666 2 1116.2721666666666 2 1116.4324166666668 4342.98275 7070.7165 7101.097250000001
